template-construction,allele-decision,no-match-fallback,output-packing,mutate-fill,seed,historical-combine-occupants,historical-dynamic-occupants,explored-status,terminal-rule-diversity,phenotype-activity-last-third,death-step,trajectory-sha256
no-template,center-local-rule,center-truth-table-local-rule,eight-bits-to-rule-byte,no-mutation,1,evolve-sigil,evolve-sigil,historical-combine,22,0.0,8,4becb4988cf32db531e16f683371c1a65c05bf0730b91aff4ff109f504724f3a
no-template,center-local-rule,center-truth-table-local-rule,eight-bits-to-rule-byte,no-mutation,2,evolve-sigil,evolve-sigil,historical-combine,20,0.0,7,4e6ab697e0109601c1e774ead2c7e5771a6d854b9ca29134a19834dc0dae4ff1
no-template,center-local-rule,center-truth-table-local-rule,eight-bits-to-rule-byte,no-mutation,3,evolve-sigil,evolve-sigil,historical-combine,25,0.0,6,8a3cb920abcfe0a7dc46069997713ad73114105dbbf7325ed4ffdf7cecb748a9
no-template,center-local-rule,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-s1,1,evolve-sigil,,historical-combine,37,0.008750000000000003,120,89d67dc39f2bdbecb8f838c523dda9a14e90f8c8868ff812a9bcde7b4117ab13
no-template,center-local-rule,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-s1,2,evolve-sigil,,historical-combine,33,0.013125000000000001,119,3bd766e10bf066a825d76e98fe1c948c8165c37f8d0d8927a89df77ef66a4743
no-template,center-local-rule,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-s1,3,evolve-sigil,,historical-combine,41,0.0056250000000000015,120,a8c60565198e5268aba069454c161887b68491bf2d8600cff961fa60f477a17a
no-template,center-local-rule,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-rot2,1,evolve-sigil,,historical-combine,64,0.22843750000000002,120,902d86f8aafd30395ed2d2419a2ba25ae9b1890470c9e27315c8fad0d81f89c6
no-template,center-local-rule,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-rot2,2,evolve-sigil,,historical-combine,59,0.22281249999999994,120,8c3cb26a5028c6d514427b1324e9d525229a905eb438619b8b3212ddb1fa5472
no-template,center-local-rule,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-rot2,3,evolve-sigil,,historical-combine,56,0.244375,120,17617ce1c9fa93b45818fda4b63cdf5ffc94befb35e4645fedea8494ab1ec4dd
no-template,center-local-rule,constant-zero,eight-bits-to-rule-byte,no-mutation,1,,,unexplored-combine,22,0.0,8,4becb4988cf32db531e16f683371c1a65c05bf0730b91aff4ff109f504724f3a
no-template,center-local-rule,constant-zero,eight-bits-to-rule-byte,no-mutation,2,,,unexplored-combine,20,0.0,7,4e6ab697e0109601c1e774ead2c7e5771a6d854b9ca29134a19834dc0dae4ff1
no-template,center-local-rule,constant-zero,eight-bits-to-rule-byte,no-mutation,3,,,unexplored-combine,25,0.0,6,8a3cb920abcfe0a7dc46069997713ad73114105dbbf7325ed4ffdf7cecb748a9
no-template,center-local-rule,constant-zero,eight-bits-to-rule-byte,rule-permute-s1,1,,,unexplored-combine,37,0.008750000000000003,120,89d67dc39f2bdbecb8f838c523dda9a14e90f8c8868ff812a9bcde7b4117ab13
no-template,center-local-rule,constant-zero,eight-bits-to-rule-byte,rule-permute-s1,2,,,unexplored-combine,33,0.013125000000000001,119,3bd766e10bf066a825d76e98fe1c948c8165c37f8d0d8927a89df77ef66a4743
no-template,center-local-rule,constant-zero,eight-bits-to-rule-byte,rule-permute-s1,3,,,unexplored-combine,41,0.0056250000000000015,120,a8c60565198e5268aba069454c161887b68491bf2d8600cff961fa60f477a17a
no-template,center-local-rule,constant-zero,eight-bits-to-rule-byte,rule-permute-rot2,1,,,unexplored-combine,64,0.22843750000000002,120,902d86f8aafd30395ed2d2419a2ba25ae9b1890470c9e27315c8fad0d81f89c6
no-template,center-local-rule,constant-zero,eight-bits-to-rule-byte,rule-permute-rot2,2,,,unexplored-combine,59,0.22281249999999994,120,8c3cb26a5028c6d514427b1324e9d525229a905eb438619b8b3212ddb1fa5472
no-template,center-local-rule,constant-zero,eight-bits-to-rule-byte,rule-permute-rot2,3,,,unexplored-combine,56,0.244375,120,17617ce1c9fa93b45818fda4b63cdf5ffc94befb35e4645fedea8494ab1ec4dd
no-template,first-template-match-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,no-mutation,1,,,unexplored-combine,22,0.0,8,4becb4988cf32db531e16f683371c1a65c05bf0730b91aff4ff109f504724f3a
no-template,first-template-match-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,no-mutation,2,,,unexplored-combine,20,0.0,7,4e6ab697e0109601c1e774ead2c7e5771a6d854b9ca29134a19834dc0dae4ff1
no-template,first-template-match-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,no-mutation,3,,,unexplored-combine,25,0.0,6,8a3cb920abcfe0a7dc46069997713ad73114105dbbf7325ed4ffdf7cecb748a9
no-template,first-template-match-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-s1,1,,,unexplored-combine,37,0.008750000000000003,120,89d67dc39f2bdbecb8f838c523dda9a14e90f8c8868ff812a9bcde7b4117ab13
no-template,first-template-match-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-s1,2,,,unexplored-combine,33,0.013125000000000001,119,3bd766e10bf066a825d76e98fe1c948c8165c37f8d0d8927a89df77ef66a4743
no-template,first-template-match-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-s1,3,,,unexplored-combine,41,0.0056250000000000015,120,a8c60565198e5268aba069454c161887b68491bf2d8600cff961fa60f477a17a
no-template,first-template-match-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-rot2,1,,,unexplored-combine,64,0.22843750000000002,120,902d86f8aafd30395ed2d2419a2ba25ae9b1890470c9e27315c8fad0d81f89c6
no-template,first-template-match-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-rot2,2,,,unexplored-combine,59,0.22281249999999994,120,8c3cb26a5028c6d514427b1324e9d525229a905eb438619b8b3212ddb1fa5472
no-template,first-template-match-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-rot2,3,,,unexplored-combine,56,0.244375,120,17617ce1c9fa93b45818fda4b63cdf5ffc94befb35e4645fedea8494ab1ec4dd
no-template,first-template-match-else-fallback,constant-zero,eight-bits-to-rule-byte,no-mutation,1,,,unexplored-combine,1,0.0,3,1a5e135d486fe8cf7241915f0e11ce1b566c08b1ae0c9b3d34b83558c0c74fd6
no-template,first-template-match-else-fallback,constant-zero,eight-bits-to-rule-byte,no-mutation,2,,,unexplored-combine,1,0.0,3,4fd4f95c73fc3dcdf1d9aa5d46f934ffe1f8c591f1eec04fb4e0dac6df3e9a97
no-template,first-template-match-else-fallback,constant-zero,eight-bits-to-rule-byte,no-mutation,3,,,unexplored-combine,1,0.0,3,28cbdf24b0ea6b4b1fcc09bb36f1bfb8532d97d559a0e431cd7c6d5e9737a9d8
no-template,first-template-match-else-fallback,constant-zero,eight-bits-to-rule-byte,rule-permute-s1,1,,,unexplored-combine,7,0.33999999999999997,120,9cc4f050ea7947fff0234ded7f63b8c4017ecef0ad9fe04e05dc4b242081ae4f
no-template,first-template-match-else-fallback,constant-zero,eight-bits-to-rule-byte,rule-permute-s1,2,,,unexplored-combine,7,0.33874999999999994,120,de0113f473b1d947e17631b3d04291fa23107b97f1e0ee8e39195b086b56fc60
no-template,first-template-match-else-fallback,constant-zero,eight-bits-to-rule-byte,rule-permute-s1,3,,,unexplored-combine,7,0.331875,120,f7f8aa09159e56cc2e4217b2eba979541311d38293bfc3419906113e532514d7
no-template,first-template-match-else-fallback,constant-zero,eight-bits-to-rule-byte,rule-permute-rot2,1,,,unexplored-combine,8,0.19718750000000002,120,780e687c16ee641c2ce2cfd2b66003db44a1d27d1dc3b11855c3df01d5db23db
no-template,first-template-match-else-fallback,constant-zero,eight-bits-to-rule-byte,rule-permute-rot2,2,,,unexplored-combine,8,0.22406249999999997,120,8a6ceaa2c746da8b373e443d39127c524f7a0544c912821ad8b065738133658c
no-template,first-template-match-else-fallback,constant-zero,eight-bits-to-rule-byte,rule-permute-rot2,3,,,unexplored-combine,8,0.21218749999999992,120,9f58e7dddc7329e959defd3a4c7ea315101debde50a21e0c3158af2801610e62
no-template,neighbor-agreement-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,no-mutation,1,baldwin;blending;blending-mutation,blending,historical-combine,17,0.018750000000000003,120,2c548e7d9d7f48601ae09d7a31dfd7d420f2ab91a99e1ea1bd579cfa5d591ed3
no-template,neighbor-agreement-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,no-mutation,2,baldwin;blending;blending-mutation,blending,historical-combine,12,0.10000000000000005,120,2c41a391f74df43a9b6d276924d08764e9a1abe3fa741fd7d6de606f6ec39834
no-template,neighbor-agreement-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,no-mutation,3,baldwin;blending;blending-mutation,blending,historical-combine,13,0.121875,120,16b23644886af624412adb1d58dd3b134205c9e8078e27161beb8d09467e98d5
no-template,neighbor-agreement-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-s1,1,baldwin;blending;blending-mutation,,historical-combine,2,0.0,41,aab33c52977feeb1cd9c35051eff9495905515e9e8eb45ad962301c8198887cc
no-template,neighbor-agreement-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-s1,2,baldwin;blending;blending-mutation,,historical-combine,2,0.0,62,3f6f7db17069e2a639d4df8ed70aed5965874b122dfaee22167b7f9dbfe24913
no-template,neighbor-agreement-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-s1,3,baldwin;blending;blending-mutation,,historical-combine,2,0.0,50,ad35a715c91c53ff95c5b5319709df9e0be7180b4095e5b7d647361af7c35556
no-template,neighbor-agreement-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-rot2,1,baldwin;blending;blending-mutation,,historical-combine,22,0.4290625,120,5d190007e0e3e9e35d4096d892bf8e3caa974ec84529ff9dbb76b2973edd3322
no-template,neighbor-agreement-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-rot2,2,baldwin;blending;blending-mutation,,historical-combine,33,0.2028125,120,27367dadca21360e828c27c78011ddef9fecc346ea53d51a3e44bcec44b62f89
no-template,neighbor-agreement-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-rot2,3,baldwin;blending;blending-mutation,,historical-combine,31,0.38499999999999995,120,d196c1e6d412b7836a0cbe766b554100b5d713776b4fb14934028f969b09e2f1
no-template,neighbor-agreement-else-fallback,constant-zero,eight-bits-to-rule-byte,no-mutation,1,,,unexplored-combine,1,0.0,6,b2eabc39b8860ee5f21040ca10bc32787c57272a71f639f291be4e25e05cf4a3
no-template,neighbor-agreement-else-fallback,constant-zero,eight-bits-to-rule-byte,no-mutation,2,,,unexplored-combine,1,0.0,10,55f876801453a60fdb99ffc3ef0ccd4f35a86523aac4dd4f17e58437ca3bf0e1
no-template,neighbor-agreement-else-fallback,constant-zero,eight-bits-to-rule-byte,no-mutation,3,,,unexplored-combine,1,0.0,9,c7466650a9e68b552347f71325c39741ec44e8362bff642cbc7ecca1e833c30c
no-template,neighbor-agreement-else-fallback,constant-zero,eight-bits-to-rule-byte,rule-permute-s1,1,,,unexplored-combine,17,0.37312500000000004,120,759dd802c8f718bed251f6493742988f45abee9b5fa6eaa4787099592d44a32a
no-template,neighbor-agreement-else-fallback,constant-zero,eight-bits-to-rule-byte,rule-permute-s1,2,,,unexplored-combine,17,0.3540625,120,6a1fa321e7fbb0d92626e84e483f462e24a7ca5dc7d516c162f3446663736083
no-template,neighbor-agreement-else-fallback,constant-zero,eight-bits-to-rule-byte,rule-permute-s1,3,,,unexplored-combine,16,0.3571875,120,1f237dfa86e44d1a9cd23109d6d81995527c9b089a64fc13b42922fe10e51b02
no-template,neighbor-agreement-else-fallback,constant-zero,eight-bits-to-rule-byte,rule-permute-rot2,1,,,unexplored-combine,17,0.210625,120,93a7ff150c2db91018af8f107a10473baa4500589e17523dcb221ccfef928f0e
no-template,neighbor-agreement-else-fallback,constant-zero,eight-bits-to-rule-byte,rule-permute-rot2,2,,,unexplored-combine,20,0.24624999999999994,120,3c103f05f1fa1184e71ebce924f3cecf5979c15eb163d0604201f1bf126c6d46
no-template,neighbor-agreement-else-fallback,constant-zero,eight-bits-to-rule-byte,rule-permute-rot2,3,,,unexplored-combine,14,0.2165625,120,408e9e8d7e333b33a0bac3d6b3b4751de8003b36664229aceba0d9b93d0b8432
no-template,all-three-zero-or-one-neighbors-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,no-mutation,1,blending-3,blending-3,historical-combine,27,0.060625,120,4abb7fc78dac76bb39edf71d46cce85d05439fd7bef3b0ce1d61fb228db73a9f
no-template,all-three-zero-or-one-neighbors-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,no-mutation,2,blending-3,blending-3,historical-combine,7,0.0,9,d8472a9817614fc40922e4713f3a4aef6ea539897e385bc981bdb1a72ceda606
no-template,all-three-zero-or-one-neighbors-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,no-mutation,3,blending-3,blending-3,historical-combine,13,0.025312499999999998,120,001a69f6b07a037297676eb012b3d78b0bc358e6cbef9222d658d2a0d1390316
no-template,all-three-zero-or-one-neighbors-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-s1,1,blending-3,,historical-combine,4,0.0,52,142ac5893afcd778b590ba0b38dd145af5baa1839b2873180574a439757bd62b
no-template,all-three-zero-or-one-neighbors-else-fallback,center-truth-table-local-rule,eight-bits-to-rule-byte,rule-permute-s1,2,blending-3,,historical-combine,3,0.0,77,7d13726e0edfd6c6aacaa03c7e63e06febd0bf7cb1dd0c784256c96a171097c1
