sigma,death-seeds,terminal-rules-seeds,cluster,pc1,pc2,death-mean,death-range,terminal-rules-mean,phenotype-activity-per-cell,entropy-early,entropy-middle,entropy-late,entropy-terminal,top1-terminal,top4-terminal,active-rules-terminal,terminal-rule-flux,class4-early,class4-middle,class4-late,class4-terminal,class4-peak,entropy-delta
01257463,120|120|120,45|40|36,1,-4.37703668,-1.39062550,120.000000,0.00000000,40.3333333,0.352175926,0.663965853,0.641754107,0.648484262,0.636324552,0.100000000,0.255555556,40.3333333,0.594444444,0.0419444444,0.0386111111,0.0298102981,0.0222222222,0.127777778,-0.0154815909
01274365,120|120|120,49|46|42,1,-4.81576265,-1.64494882,120.000000,0.00000000,45.6666667,0.263333333,0.666985060,0.664117254,0.663138726,0.671257720,0.0666666667,0.194444444,45.6666667,0.577777778,0.0348611111,0.0388888889,0.0268292683,0.0333333333,0.127777778,-0.00384633377
01274653,120|120|120,17|14|13,1,0.595521433,-0.738561063,120.000000,0.00000000,14.6666667,0.166064815,0.567344221,0.494266846,0.444693325,0.420606385,0.216666667,0.611111111,14.6666667,0.183333333,0.0505555556,0.0661111111,0.0481029810,0.0222222222,0.177777778,-0.122650896
01326475,120|120|120,26|24|34,1,-1.48762280,-1.74436833,120.000000,0.00000000,28.0000000,0.251481481,0.598391252,0.516993633,0.535993633,0.528152716,0.205555556,0.438888889,28.0000000,0.327777778,0.0283333333,0.0102777778,0.00785907859,0.00000000,0.0944444444,-0.0623976189
01364572,120|120|120,16|16|17,1,-0.0925273979,-0.682245676,120.000000,0.00000000,16.3333333,0.279259259,0.591550365,0.496676258,0.462640952,0.448845458,0.194444444,0.544444444,16.3333333,0.255555556,0.0305555556,0.0512500000,0.0608401084,0.0722222222,0.150000000,-0.128909414
01452376,120|120|120,4|4|4,0,3.57237766,1.32382124,120.000000,0.00000000,4.00000000,0.442685185,0.504946384,0.282812498,0.229475990,0.224867519,0.377777778,1.00000000,4.00000000,0.0722222222,0.0819444444,0.121388889,0.119783198,0.0944444444,0.244444444,-0.275470394
01452673,120|120|120,22|29|25,1,-1.84254940,0.257839159,120.000000,0.00000000,25.3333333,0.356111111,0.626800625,0.582883926,0.542059173,0.525307549,0.177777778,0.433333333,25.3333333,0.338888889,0.0768055556,0.0762500000,0.109078591,0.0944444444,0.233333333,-0.0847414525
01462753,69|120|94,4|4|4,0,5.24103302,-2.00520989,94.3333333,51.0000000,4.00000000,0.0745370370,0.518886669,0.317800065,0.231307095,0.222719150,0.427777778,1.00000000,4.00000000,0.0777777778,0.00958333333,0.00333333333,0.00000000,0.00000000,0.0500000000,-0.287579574
01465327,120|120|120,17|29|33,1,-1.89889369,-1.89948007,120.000000,0.00000000,26.3333333,0.253055556,0.619336476,0.588960945,0.564461183,0.540907822,0.133333333,0.405555556,26.3333333,0.350000000,0.0144444444,0.0111111111,0.0111111111,0.0111111111,0.0666666667,-0.0548752929
01472563,120|120|120,16|15|19,1,-0.170191596,-0.172625377,120.000000,0.00000000,16.6666667,0.0987962963,0.580166692,0.495464705,0.493588732,0.457601152,0.166666667,0.500000000,16.6666667,0.266666667,0.0488888889,0.0812500000,0.109756098,0.105555556,0.250000000,-0.0865779605
01536472,120|120|120,37|37|45,1,-4.19275363,-1.45615948,120.000000,0.00000000,39.6666667,0.282777778,0.648879984,0.633276795,0.651308713,0.643636583,0.0666666667,0.211111111,39.6666667,0.533333333,0.0284722222,0.0312500000,0.0551490515,0.0444444444,0.133333333,0.00242872885
01642573,120|120|120,36|23|35,1,-2.52832104,-1.48548966,120.000000,0.00000000,31.3333333,0.331111111,0.594437732,0.552528829,0.583066846,0.577360315,0.127777778,0.344444444,31.3333333,0.388888889,0.0366666667,0.0222222222,0.0242547425,0.0166666667,0.0944444444,-0.0113708852
01742635,111|120|68,4|4|4,0,5.37115859,-1.58109406,99.6666667,52.0000000,4.00000000,0.0675925926,0.529833015,0.277311597,0.225552820,0.214768849,0.455555556,1.00000000,4.00000000,0.0500000000,0.0338888889,0.00944444444,0.00000000,0.00000000,0.105555556,-0.304280195
01754362,120|120|120,30|40|37,1,-3.20506659,-1.32451876,120.000000,0.00000000,35.6666667,0.271759259,0.628746351,0.590463691,0.594849801,0.615831652,0.0888888889,0.261111111,35.6666667,0.427777778,0.0455555556,0.0384722222,0.0375338753,0.0388888889,0.116666667,-0.0338965498
02145367,120|120|120,31|29|25,1,-1.59729304,-2.25352177,120.000000,0.00000000,28.3333333,0.162314815,0.577747475,0.537544775,0.546188510,0.549983148,0.166666667,0.394444444,28.3333333,0.338888889,0.0108333333,0.00194444444,0.00298102981,0.00000000,0.0555555556,-0.0315589647
02164573,120|120|120,41|22|30,1,-2.36562734,-0.421168009,120.000000,0.00000000,31.0000000,0.341759259,0.602540429,0.510313820,0.574785543,0.572155365,0.111111111,0.361111111,31.0000000,0.350000000,0.0465277778,0.0765277778,0.0780487805,0.0611111111,0.211111111,-0.0277548867
02174563,120|120|120,28|32|33,1,-2.43276329,-1.87771983,120.000000,0.00000000,31.0000000,0.224120370,0.618809871,0.575108778,0.598042952,0.572714512,0.138888889,0.366666667,31.0000000,0.383333333,0.0219444444,0.0130555556,0.0218157182,0.0111111111,0.0833333333,-0.0207669189
02175634,120|120|120,18|13|20,1,0.283584255,-1.73288934,120.000000,0.00000000,17.0000000,0.157314815,0.579920240,0.519000888,0.487640409,0.416724039,0.266666667,0.655555556,17.0000000,0.233333333,0.0216666667,0.0223611111,0.00636856369,0.00000000,0.0833333333,-0.0922798310
02317465,120|120|120,43|27|42,1,-3.83013973,-0.928505838,120.000000,0.00000000,37.3333333,0.338796296,0.653141397,0.645206803,0.636573387,0.621046774,0.0944444444,0.261111111,37.3333333,0.466666667,0.0508333333,0.0427777778,0.0397018970,0.0833333333,0.150000000,-0.0165680101
02351476,120|120|120,15|15|9,0,1.78626555,-1.35313773,120.000000,0.00000000,13.0000000,0.264537037,0.516968925,0.400743771,0.396024728,0.339354346,0.438888889,0.755555556,13.0000000,0.150000000,0.0172222222,0.0181944444,0.0181571816,0.0222222222,0.0777777778,-0.120944196
02371456,120|120|120,20|8|18,1,1.16671662,-1.91669206,120.000000,0.00000000,15.3333333,0.111342593,0.526119311,0.459194433,0.421224652,0.398646270,0.305555556,0.644444444,15.3333333,0.166666667,0.0140277778,0.00972222222,0.00338753388,0.00000000,0.0722222222,-0.104894658
02375614,120|120|120,8|14|15,0,1.80096815,-1.88118240,120.000000,0.00000000,12.3333333,0.111157407,0.515762083,0.449877680,0.407518075,0.356191781,0.361111111,0.744444444,12.3333333,0.127777778,0.0148611111,0.00861111111,0.00528455285,0.00000000,0.0555555556,-0.108244008
02415763,120|120|120,9|27|30,1,0.116664588,-1.76190842,120.000000,0.00000000,22.0000000,0.174074074,0.592560039,0.502942626,0.450519902,0.424967229,0.355555556,0.638888889,22.0000000,0.288888889,0.0176388889,0.0150000000,0.0139566396,0.0166666667,0.0666666667,-0.142040137
02516473,120|120|120,24|21|27,1,-0.936532414,-1.37125907,120.000000,0.00000000,24.0000000,0.242129630,0.647808341,0.591306813,0.500895050,0.484801748,0.250000000,0.544444444,24.0000000,0.277777778,0.0363888889,0.0177777778,0.0177506775,0.0166666667,0.116666667,-0.146913291
02573164,120|120|120,44|36|35,1,-3.52566668,-1.83671887,120.000000,0.00000000,38.3333333,0.230324074,0.646354787,0.630681464,0.617164209,0.629265665,0.0888888889,0.244444444,38.3333333,0.427777778,0.0234722222,0.0216666667,0.0242547425,0.0277777778,0.0944444444,-0.0291905786
