file,seed,label,classification,detail,change_rate_early,change_rate_final,frozen_ratio,white_ratio,width,generations
hex-01-run.edn,352362012,hex-01,barcode,"76% columns frozen, 13 stripes",0.21000000000000005,0.20875000000000007,0.7625,0.1375,80,51
hex-02-run.edn,352362012,hex-02,collapsed-black,"100% black (collapsed)",0.0,0.0,1.0,0.0,80,51
hex-03-run.edn,352362012,hex-03,unknown,"Unclassified",0.5,0.49937499999999996,0.0,0.4875,80,51
hex-04-run.edn,352362012,hex-04,collapsed-black,"100% black (collapsed)",0.021249999999999998,0.0,1.0,0.0,80,51
hex-05-run.edn,352362012,hex-05,unknown,"Unclassified",0.48,0.48749999999999993,0.0,0.5375,80,51
hex-06-run.edn,352362012,hex-06,hot,"84.9% cells changing per gen (chaotic)",0.8456249999999998,0.8487499999999999,0.05,0.075,80,51
hex-07-run.edn,352362012,hex-07,collapsed-black,"100% black (collapsed)",0.0,0.0,1.0,0.0,80,51
hex-08-run.edn,352362012,hex-08,eoc,"43.8% change, 61% active columns",0.441875,0.438125,0.3875,0.325,80,51
hex-09-run.edn,352362012,hex-09,unknown,"Unclassified",0.5518750000000001,0.575,0.0,0.3,80,51
hex-10-run.edn,352362012,hex-10,unknown,"Unclassified",0.503125,0.48875,0.0,0.525,80,51
hex-11-run.edn,352362012,hex-11,collapsed-black,"100% black (collapsed)",0.0,0.0,1.0,0.0,80,51
hex-12-run.edn,352362012,hex-12,hot,"84.9% cells changing per gen (chaotic)",0.8456249999999998,0.8487499999999999,0.05,0.075,80,51
hex-13-run.edn,352362012,hex-13,collapsed-black,"100% black (collapsed)",0.0,0.0,1.0,0.0,80,51
hex-14-run.edn,352362012,hex-14,eoc,"34.6% change, 100% active columns",0.30874999999999997,0.34562499999999996,0.0,0.7,80,51
hex-15-run.edn,352362012,hex-15,cooling,"59% columns frozen (cooling)",0.30874999999999997,0.309375,0.5875,0.425,80,51
hex-16-run.edn,352362012,hex-16,collapsed-black,"98% black (collapsed)",0.07499999999999998,0.07499999999999998,0.925,0.025,80,51
